"years","sentences","sentences_full","polarity"
2013," and it is with much gratitude that i think of the warm hospitality which we always enjoy"," and it is with much gratitude that i think of the warm hospitality which we always enjoy",1.5
2013," also the danes in south schleswig are linked to denmark with strong ties of the heart"," also the danes in south schleswig are linked to denmark with strong ties of the heart",2
2013," i am always very happy to see that so many hold on to danish culture and tradition and i wish to extend my hopes for a happy newyear to the many associations and institutions and to all danish homes"," i am always very happy to see that so many hold on to danish culture and tradition and i wish to extend my hopes for a happy new year to the many associations and institutions and to all danish homes",2
2013," this year again there are danish soldiers and other personnel posted to dangerous parts of the world"," this year again, there are danish soldiers and other personnel posted to dangerous parts of the world",0
2013," we all wish to see them returning safe and sound"," we all wish to see them returning safe and sound",1
2013," i wish to thank all of them for their contribution"," i wish to thank all of them for their contribution",1.5
2013," both the crown prince and prince joachim have visited them in kosovo as well as in afghanistan"," both the crown prince and prince joachim have visited them, in kosovo as well as in afghanistan",0
2013," they are like me deeply impressed with their contributions"," they are, like me, deeply impressed with their contributions",2.5
2013," although the danish presence will be gradually reduced in 2014 it does not close the chapter for them all"," although the danish presence will be gradually reduced in 2014, it does not close the chapter for them all",0
2013," some must live on with both physical and mental wounds"," some must live on with both physical and mental wounds",0
2013," let us not forget them"," let us not forget them",-1
2013," i wish every single person at home and abroad a happy newyear"," i wish every single person at home and abroad a happy new year",2
2013," on newyear s eve many danes throughout the world follow newyear s celebrations in denmark"," on new year s eve, many danes throughout the world follow new year s celebrations in denmark",0
2013," i wish each and everyone across all time zones a happy newyear"," i wish each and everyone, across all time zones, a happy new year",2
2013," to everybody who must be on duty tonight to ensure that our society remains safe and secure i also send my best newyear s greetings and my gratitude for their work in the course of the year"," to everybody who must be on duty tonight to ensure that our society remains safe and secure i also send my best new year s greetings and my gratitude for their work in the course of the year",1.7
2013," last but not least i wish to thank you for the year that has passed"," last but not least i wish to thank you for the year that has passed",1.5
2013," this comes from the prince consort and myself as well as from our entire family"," this comes from the prince consort and myself as well as from our entire family",0
2013," we thank you for all your kind attention and for the many heart warming meetings and greetings we have received throughout this year"," we thank you for all your kind attention and for the many heart warming meetings and greetings we have received throughout this year",1.83333333333333
2013," the year 2013 is drawing to an end"," the year 2013 is drawing to an end",0
2013," what the newyear may bring none of us knows but let us step into it together in a spirit of hope and confidence"," what the new year may bring none of us knows, but let us step into it together in a spirit of hope and confidence",1.66666666666667
2013," i wish each and every one of you a happy newyear 2014"," i wish each and every one of you a happy new year 2014",2
2014,"tonight is newyear s eve","tonight is new year s eve",0
2014," behind us lies a whole year of happiness and sadness"," behind us lies a whole year of happiness and sadness",3
2014," for most people it is the happy moments that stand out most clearly"," for most people, it is the happy moments that stand out most clearly",2
2014," for others the sad moments loom largest when looking back"," for others, the sad moments loom largest when looking back",-1.5
2014," but before us lies a whole newyear which we already fill with expectations and wishes"," but before us lies a whole new year, which we already fill with expectations and wishes",1
2014," what you wish for you shall have are the words of the old christmas song that many of us have sung"," what you wish for, you shall have are the words of the old christmas song that many of us have sung",1
2014," but we know very well that it is not that easy"," but we know very well that it is not that easy",1
2014," we expect so much"," we expect so much",0
2014," perhaps we should rather remember to expect something from each other"," perhaps we should rather remember to expect something from each other",0
2014," if we have no expectations whatsoever of another person if we only say you can t possibly manage that it is in the air that it probably will not lead to anything"," if we have no expectations whatsoever of another person, if we only say you can t possibly manage that , it is in the air that it probably will not lead to anything",-1
2014," for even though some people react by thinking to themselves i ll prove them wrong if it s the last thing i do it may be those words that are the last straw"," for even though some people react by thinking to themselves i ll prove them wrong if it s the last thing i do , it may be those words that are the last straw",-2
2014," saying we do not expect anything we have perhaps contributed to ruining another person s future"," saying we do not expect anything, we have perhaps contributed to ruining another person s future",-2
2014," we must have expectations of our fellow human beings just as we wish that people expect something from us"," we must have expectations of our fellow human beings just as we wish that people expect something from us",1
2014," it is a matter of trusting each other of believing in the opportunities for each other"," it is a matter of trusting each other, of believing in the opportunities for each other",1.5
2014," therefore we must talk things up instead of talking them down"," therefore, we must talk things up, instead of talking them down",0
2014," it starts already in school"," it starts already in school",0
2014," don t we all remember our time at school it has left its imprint on us all"," don t we all remember our time at school it has left its imprint on us all",0
2014," most of us remember a teacher who was particularly good at bringing out the best in every one of us in the class"," most of us remember a teacher who was particularly good at bringing out the best in every one of us in the class",3
2014," there is always a need for these teachers and there are still a great many of these teachers"," there is always a need for these teachers, and there are still a great many of these teachers",3
2014," right now it is the christmas holiday but children and teachers must soon start school again"," right now it is the christmas holiday but children and teachers must soon start school again",0
2014," i wish all of you children who are watching tonight a very happy newyear"," i wish all of you children who are watching tonight a very happy new year",2
2014," after the holiday you will go back to school then you must show how much progress you can make"," after the holiday you will go back to school then you must show how much progress you can make",2
2014," the time will also come when you leave school"," the time will also come when you leave school",-1
2014," what to do then should you go for a university degree should you become a school teacher should you perhaps learn a trade become a good carpenter a skilled mechanic use your abilities to do something with your hands"," what to do then should you go for a university degree should you become a school teacher should you perhaps learn a trade become a good carpenter, a skilled mechanic use your abilities to do something with your hands",2.5
2014," start your own small enterprise or look for a job at a major workplace with many other competent employees"," start your own small enterprise or look for a job at a major workplace with many other competent employees",2
2014," no matter what you choose you must make an effort"," no matter what you choose, you must make an effort",0
2014," the first step is the hardest but it is a great pleasure when it turns out right"," the first step is the hardest, but it is a great pleasure when it turns out right",3
2014," it is my hope that 2015 will be a year in which many young people wish to make an effort and are successful also when it is a matter of difficult tasks"," it is my hope that 2015 will be a year in which many young people wish to make an effort and are successful also when it is a matter of difficult tasks",1.2
2014," we live in an affluent society"," we live in an affluent society",0
2014," we need not worry about having enough to eat rather the opposite"," we need not worry about having enough to eat, rather the opposite",-3
2014," our country is wealthy even though we have experienced years of economic crisis"," our country is wealthy even though we have experienced years of economic crisis",-0.5
2014," we are safer here in denmark than in most other places throughout the world"," we are safer here in denmark than in most other places throughout the world",0
2014," naturally this is good but our prosperity must not become a pretext for doing nothing"," naturally, this is good but our prosperity must not become a pretext for doing nothing",3
2014," we must not become so complacent that we do not demand enough of ourselves and each other"," we must not become so complacent that we do not demand enough of ourselves and each other",-1.5
2014," on the contrary we must continue to strive for new knowledge new skills and new insight"," on the contrary, we must continue to strive for new knowledge, new skills and new insight",0
2014," we must continue to do our best"," we must continue to do our best",3
2014," that is the way to keep and develop our affluent and safe society"," that is the way to keep and develop our affluent and safe society",1
2014," this applies to young people just as it applies to all of us"," this applies to young people just as it applies to all of us",0
2014," we must make an effort"," we must make an effort",0
2014," we must do our best in all aspects of life also when others need help"," we must do our best in all aspects of life, also when others need help",2.5
2014," perhaps it is a colleague who needs attention and kindness just a friendly word a smile on a dreary day or a helping hand to show that we care about each other"," perhaps it is a colleague who needs attention and kindness, just a friendly word, a smile on a dreary day or a helping hand to show that we care about each other",1.2
2014," we may also witness how somebody is harassed or bullied"," we may also witness how somebody is harassed or bullied",-2
2014," in such cases it is tempting to think i don t want to get involved"," in such cases, it is tempting to think i don t want to get involved",1
2014," what can i do others will have to deal with that"," what can i do others will have to deal with that",0
2014," but if nobody does anything and all sit on the fence nothing will change for the better"," but if nobody does anything and all sit on the fence, nothing will change for the better",2
2014," we ourselves may also need another human being to stop and give us a hand"," we ourselves may also need another human being to stop and give us a hand",-1
2014," in the course of the past year we have seen how unrest and uncertainty has spread in many places throughout the world in a way that gives rise to concern"," in the course of the past year we have seen how unrest and uncertainty has spread in many places throughout the world in a way that gives rise to concern",0
2014," this has also affected countries that are not very far from us"," this has also affected countries that are not very far from us",0
2014," we see patterns emerge that disturbingly bring to mind periods of time we do not wish to experience again"," we see patterns emerge that disturbingly bring to mind periods of time we do not wish to experience again",1
2014," no wonder we are concerned but we must not take fright"," no wonder we are concerned but we must not take fright",-1.5
2014," we must hold on to the values that are essential for us both for our welfare and our safety"," we must hold on to the values that are essential for us both for our welfare and our safety",1
2014," one of the consequences of the present situation is the huge wave of refugees that we see today and which we also experience at close quarters in denmark"," one of the consequences of the present situation is the huge wave of refugees that we see today and which we also experience at close quarters in denmark",1
2014," recently thousands of refugees have come to denmark very many from the horrifying and protracted civil war in syria"," recently, thousands of refugees have come to denmark, very many from the horrifying and protracted civil war in syria",-2
2014," everywhere throughout this country a major effort is being made to help the refugees"," everywhere throughout this country, a major effort is being made to help the refugees",2
2014," the task may seem daunting to receive so many people from foreign countries and different cultures"," the task may seem daunting to receive so many people from foreign countries and different cultures",0
2014," danish municipalities are facing a huge task large as well as small municipalities"," danish municipalities are facing a huge task, large as well as small municipalities",1
2014," they receive much help from voluntary organisations and the many individuals who make an effort to render practical assistance and to introduce refugees to danish society"," they receive much help from voluntary organisations and the many individuals who make an effort to render practical assistance and to introduce refugees to danish society",2
2014," it is not enough to take care of them we must also help them to feel at home in society so that they can gain a foothold and manage on their own"," it is not enough to take care of them, we must also help them to feel at home in society so that they can gain a foothold and manage on their own",2
2014," help alone is not enough"," help alone is not enough",0
2014," we must also encourage newly arrived persons to build a new existence where they can take responsibility for themselves and do their best to feel at ease in the foreign country be it for a long or a short period of time"," we must also encourage newly arrived persons to build a new existence where they can take responsibility for themselves and do their best to feel at ease in the foreign country, be it for a long or a short period of time",2.33333333333333
2014," i wish to thank all those who have involved themselves in rendering assistance"," i wish to thank all those who have involved themselves in rendering assistance",1.5
2014," i wish them a happy newyear and i also wish those who have arrived here a happy newyear and a good start here"," i wish them a happy new year and i also wish those who have arrived here a happy new year and a good start here",2.2
2014," in the past year greenland has experienced both political turbulence and economic challenges"," in the past year, greenland has experienced both political turbulence and economic challenges",0
2014," this was not envisaged only a year ago"," this was not envisaged only a year ago",0
2014," we all hope that the newyear will prove a new beginning for greenland society"," we all hope that the new year will prove a new beginning for greenland society",2
2014," in spite of all difficulties the warmth and high spirits of the people in greenland has not changed"," in spite of all difficulties, the warmth and high spirits of the people in greenland has not changed",2
2014," this was perfectly obvious during the visit of the crown prince and his family to greenland last summer"," this was perfectly obvious during the visit of the crown prince and his family to greenland last summer",3
2014," for the crown prince and the crown princess it was a happy revisit and for their children it was an experience they will never forget an experience that will bring them back to greenland time and again"," for the crown prince and the crown princess it was a happy revisit, and for their children it was an experience they will never forget, an experience that will bring them back to greenland time and again",1
2014," it warmed the hearts of us who as parents and grandparents could follow the journey from a distance"," it warmed the hearts of us who, as parents and grandparents, could follow the journey from a distance",0
2014," together with the prince consort i wish to thank everybody in greenland for the hospitable reception the crown prince and his family enjoyed everywhere"," together with the prince consort i wish to thank everybody in greenland for the hospitable reception the crown prince and his family enjoyed everywhere",1.5
2014," the past year has not been a bad year for the faroe islands"," the past year has not been a bad year for the faroe islands",-3
2014," there is plenty of initiative and drive among the faroese"," there is plenty of initiative and drive among the faroese",0
2014," they know the conditions presented by nature and they have got a good grip on the challenges facing them from the international community"," they know the conditions presented by nature and they have got a good grip on the challenges facing them from the international community",3
2014," together with the prince consort i send my warmest newyear wishes and greetings to everybody in the faroe islands and to everybody in greenland"," together with the prince consort i send my warmest new year wishes and greetings to everybody in the faroe islands and to everybody in greenland",1.25
2014," next summer both of us will visit the faroe islands as well as greenland we are looking forward to that with great expectations"," next summer, both of us will visit the faroe islands as well as greenland we are looking forward to that with great expectations",3
2014," on 18 april this year the whole country commemorated the attack on the dybbøl position in 1864 and the defeat which left its mark on denmark in matters large and small"," on 18 april this year, the whole country commemorated the attack on the dybbøl position in 1864 and the defeat which left its mark on denmark in matters large and small",0
2014," also this year we commemorate the centennial of the outbreak of world war i the war that left its blood stained mark on most european countries but which denmark was not involved in"," also this year, we commemorate the centennial of the outbreak of world war i, the war that left its blood stained mark on most european countries, but which denmark was not involved in",-2
2014," however the outcome of that war was also the reason why the people of south jutland were able to vote for reunification with denmark in 1920"," however, the outcome of that war was also the reason why the people of south jutland were able to vote for reunification with denmark in 1920",-2
2014," a deep wound was going to heal"," a deep wound was going to heal",0
2014," still this did not apply to all with pro danish sympathies"," still, this did not apply to all with pro danish sympathies",0
2014," those in south schleswig were not included"," those in south schleswig were not included",0
2014," you will not be forgotten said king christian x at the new border at kruså when he met with danish minded people from south schleswig during the celebrations of the reunification in 1920"," you will not be forgotten said king christian x at the new border at kruså when he met with danish minded people from south schleswig during the celebrations of the reunification in 1920",-1
2014," you have not been forgotten we can say today even though your fate turned out differently"," you have not been forgotten we can say today even though your fate turned out differently",-1
2014," you have held on to your danish heritage for generations and you have added a feature to the border country that is unique among border areas worldwide"," you have held on to your danish heritage for generations, and you have added a feature to the border country that is unique among border areas worldwide",0
2014," i wish to send my warmest newyear greetings to everyone in south schleswig"," i wish to send my warmest new year greetings to everyone in south schleswig",1.25
2014," every year denmark sends many people to distant places in the world"," every year, denmark sends many people to distant places in the world",0
2014," this applies to our soldiers who in afghanistan and iraq help to train these countries own soldiers"," this applies to our soldiers who in afghanistan and iraq help to train these countries own soldiers",2
2014," it applies to our seamen who have transported toxic chemicals away from syria or who have been on patrol off the horn of africa"," it applies to our seamen who have transported toxic chemicals away from syria, or who have been on patrol off the horn of africa",0
2014," also the danish air force is active in the airspace over iraq"," also the danish air force is active in the airspace over iraq",1
2014," others are or have been sent abroad to provide emergency relief assistance of various kinds"," others are, or have been, sent abroad to provide emergency relief assistance of various kinds",-2
2014," here i wish to mention in particular the danish doctors and nurses who have agreed to be sent to africa to engage in the fight against the terrible ebola epidemic"," here i wish to mention in particular the danish doctors and nurses who have agreed to be sent to africa to engage in the fight against the terrible ebola epidemic",-0.2
2014," the effort they are prepared to make deserves our highest praise"," the effort they are prepared to make deserves our highest praise",3
2014," on this newyear s eve i wish to thank them all for their selfless effort and wish them and other danes posted abroad wherever they are in the world a happy newyear"," on this new year s eve, i wish to thank them all for their selfless effort and wish them and other danes posted abroad, wherever they are in the world, a happy new year",1.75
2014," i wish to send my newyear greetings to all who are struggling with illness grief and difficult problems"," i wish to send my new year greetings to all who are struggling with illness, grief and difficult problems",-0.928571428571429
2014," it can be particularly hard on a newyear s eve when others are celebrating and are happy"," it can be particularly hard on a new year s eve when others are celebrating and are happy",1.66666666666667
2014," may the newyear bring you all comfort and new courage"," may the new year bring you all comfort and new courage",2
2014," many danes celebrate the newyear outside denmark"," many danes celebrate the new year outside denmark",3
2014," whether they are near or far away whether they have left home for a short period of time or have settled more permanently abroad i wish them a happy newyear"," whether they are near or far away, whether they have left home for a short period of time or have settled more permanently abroad, i wish them a happy new year",2
2014," they contribute to making denmark known throughout the world"," they contribute to making denmark known throughout the world",0
2014," for me and my family this year has brought us so many joys"," for me and my family, this year has brought us so many joys",0
2014," i am thinking of our visits to various parts of the country and of the attention the prince consort received on his 80th birthday"," i am thinking of our visits to various parts of the country and of the attention the prince consort received on his 80th birthday",0
2014," it has warmed his heart just as it has warmed the hearts of all our family"," it has warmed his heart, just as it has warmed the hearts of all our family",0
2014," a heartfelt thank you may the newyear 2015 bring much good with it to each and every one of you to all families and to our country"," a heartfelt thank you may the new year 2015 bring much good with it to each and every one of you, to all families and to our country",2.66666666666667
2014," god bless denmark"," god bless denmark",1.5
2015,"her majesty the queen's newyear address 2015 a year is coming to an end tomorrow a newyear will begin","her majesty the queen's new year address 2015 a year is coming to an end tomorrow a new year will begin",0
2015," we cannot take leave of 2015 without reflecting upon what the year has brought with it"," we cannot take leave of 2015 without reflecting upon what the year has brought with it",-1
2015," in january we saw first the shocking attack on the french satirical magazine in paris and about a month later we experienced the two attacks at krudttønden and at the synagogue in krystalgade in copenhagen"," in january we saw first the shocking attack on the french satirical magazine in paris, and about a month later we experienced the two attacks at krudttønden and at the synagogue in krystalgade in copenhagen",-1.33333333333333
2015," two danes lost their lives and we were all left with a sense of shock and horror acts of terrorism had reached us"," two danes lost their lives, and we were all left with a sense of shock and horror acts of terrorism had reached us",-0.5
2015," my thoughts go to the relatives of both victims"," my thoughts go to the relatives of both victims",-3
2015," we were all affected which was reflected in the huge rally of support shown in the days and weeks following the tragic events"," we were all affected, which was reflected in the huge rally of support shown in the days and weeks following the tragic events",0.333333333333333
2015," but it was not to end there not many weeks ago paris was hit once again by terrorist attacks leaving many people dead and injured"," but it was not to end there not many weeks ago, paris was hit once again by terrorist attacks leaving many people dead and injured",-2
2015," not only europe but the entire world has demonstrated solidarity with france"," not only europe but the entire world has demonstrated solidarity with france",2
2015," acts of terrorism are not a european phenomenon"," acts of terrorism are not a european phenomenon",0
2015," terrorists strike at innocent people everywhere people who are merely going about their day to day ordinary business"," terrorists strike at innocent people everywhere, people who are merely going about their day to day ordinary business",-1
2015," we are affected too and we must understand and consider that no man is an island we are all a part of the main"," we are affected, too, and we must understand and consider that no man is an island we are all a part of the main",-1
2015," our reaction must not become one of paralysing fear"," our reaction must not become one of paralysing fear",-2
2015," we must adjust to our conditions as they are we must exercise vigilance"," we must adjust to our conditions as they are, we must exercise vigilance",0
2015," but we must live our every day lives in confidence and in good spirits in high spirits indeed for fear makes us weak"," but we must live our every day lives in confidence and in good spirits in high spirits, indeed, for fear makes us weak",0.25
2015," it is no news that there is war and misery and terrorism throughout the world"," it is no news that there is war and misery and terrorism throughout the world",-1.66666666666667
2015," we have been able to follow this every day in newspapers and on television horrifying pictures of other people s misfortune"," we have been able to follow this every day in newspapers and on television horrifying pictures of other people s misfortune",0
2015," nevertheless up to now it has only affected us in a strangely noncommittal manner until we this year have seen people in distress and entire families desperately trying to reach europe and also entering our country in larger numbers than ever before"," nevertheless, up to now it has only affected us in a strangely noncommittal manner until we this year have seen people in distress and entire families desperately trying to reach europe, and also entering our country in larger numbers than ever before",-1.25
2015," many refugees have sought protection in denmark and it is our responsibility to render assisstance"," many refugees have sought protection in denmark and it is our responsibility to render assisstance",0
2015," it is a huge task but also a difficult dilemma how many can we help and how do we help in the best way my wish is that the newyear will prove a good year for all those who find their place in denmark"," it is a huge task, but also a difficult dilemma how many can we help, and how do we help in the best way my wish is that the new year will prove a good year for all those who find their place in denmark",1.25
2015," i also wish to use this evening to send my greetings to the many authorities organisations and individuals who are making a great and essential effort to render assistance to the people arriving in denmark and who perform the tasks ensuing from this"," i also wish to use this evening to send my greetings to the many authorities, organisations and individuals who are making a great and essential effort to render assistance to the people arriving in denmark, and who perform the tasks ensuing from this",1.83333333333333
2015," the distress and suffering of others casts new light on the lives we lead in denmark"," the distress and suffering of others casts new light on the lives we lead in denmark",-2
2015," our lives are safe and secure"," our lives are safe and secure",1.5
2015," there is cohesion between our hopes and the opportunities we all have"," there is cohesion between our hopes and the opportunities we all have",2
2015," hectic that is what our time has come to be for many of us and this may make the old days look romantic and carefree but they were not like that"," hectic, that is what our time has come to be for many of us, and this may make the old days look romantic and carefree but they were not like that",1.5
2015," most people had a much tougher day to day life some two or three generations ago"," most people had a much tougher day to day life some two or three generations ago",0
2015," at that time there was good reason for worry and concern"," at that time, there was good reason for worry and concern",0
2015," we understand very well that we cannot put carefree trust in the future but we must not paint the future as doom and gloom"," we understand very well that we cannot put carefree trust in the future, but we must not paint the future as doom and gloom",-0.25
2015," we are healthier and fitter than previous generations"," we are healthier and fitter than previous generations",0
2015," we live longer we have more leisure time and more opportunities to spend it"," we live longer, we have more leisure time and more opportunities to spend it",2
2015," in short we are extremely privileged compared with the world at large"," in short, we are extremely privileged compared with the world at large",2
2015," nevertheless it sometimes looks as if more people worry more about less"," nevertheless, it sometimes looks as if more people worry more about less",-3
2015," do we eat too much do we eat healthy enough are the instructions for use understandable how to make our mark so that everybody can see how important we are each and every one how will we cope when we grow old and live to a great old age that is what we want"," do we eat too much do we eat healthy enough are the instructions for use understandable how to make our mark so that everybody can see how important we are, each and every one how will we cope when we grow old and live to a great old age that is what we want",2
2015," we should notice that most of us are healthier and fitter than our parents or grandparents were"," we should notice that most of us are healthier and fitter than our parents or grandparents were",0
2015," we should probably not worry so much about our children either"," we should probably not worry so much about our children either",-3
2015," we cannot hold their hands forever"," we cannot hold their hands forever",0
2015," we must give them room and not protect them so zealously that they do not get the chance to learn any lessons of their own"," we must give them room and not protect them so zealously that they do not get the chance to learn any lessons of their own",1.5
2015," previously children were left to play on their own without any interference from adults and with plenty of room for imagination"," previously, children were left to play on their own, without any interference from adults and with plenty of room for imagination",0
2015," sometimes they would fall and hurt themselves and sometimes it might be a bit difficult to explain how the trousers had got torn or what had happened to the hair bow"," sometimes they would fall and hurt themselves, and sometimes it might be a bit difficult to explain how the trousers had got torn or what had happened to the hair bow",-1.66666666666667
2015," up you get the grown ups would say and the children managed"," up you get the grown ups would say and the children managed",0
2015," it meant lessons learnt which they might well have preferred to do without but that is part of life itself"," it meant lessons learnt, which they might well have preferred to do without, but that is part of life itself",0
2015," nobody goes through life without encountering obstacles"," nobody goes through life without encountering obstacles",-2
2015," as time goes by the challenges appear at school during further education at our workplace"," as time goes by, the challenges appear at school, during further education, at our workplace",0
2015," it is important that we should encounter challenges when we are young"," it is important that we should encounter challenges when we are young",2
2015," some challenges are dealt with successfully others prove too daunting"," some challenges are dealt with successfully, others prove too daunting",0
2015," but that must not lead to a sense of despondency"," but that must not lead to a sense of despondency",0
2015," by contrast that is when we need to find out what to do next"," by contrast, that is when we need to find out what to do next",0
2015," we cannot all do the same"," we cannot all do the same",0
2015," we must not at all costs do what all the others do"," we must not, at all costs, do what all the others do",0
2015," on the other hand nor should we strive so hard to be unique that it impacts negatively on our fellowship and solidarity with others"," on the other hand, nor should we strive so hard to be unique that it impacts negatively on our fellowship and solidarity with others",0.5
2015," this year the prince consort and i have visited greenland once again"," this year, the prince consort and i have visited greenland once again",0
2015," a two week trip which the wonderful summer weather contributed to making yet another unforgettable meeting with the land of human beings"," a two week trip which the wonderful summer weather contributed to making yet another unforgettable meeting with the land of human beings",4
2015," we revisited many places but we also experienced settlements we had not previously visited"," we revisited many places, but we also experienced settlements we had not previously visited",0
2015," everywhere we encountered so much warmth that the sun seemed to shine even where the sky was cloudy"," everywhere we encountered so much warmth that the sun seemed to shine even where the sky was cloudy",2
2015," both of us want to say thank you for last summer and we wish all greenland society a happy newyear"," both of us want to say thank you for last summer, and we wish all greenland society a happy new year",1.75
2015," for the faroe islands this has been a good year"," for the faroe islands, this has been a good year",3
2015," nature has been in a generous mood and there is much enterprise and activity among the faroese"," nature has been in a generous mood and there is much enterprise and activity among the faroese",2
2015," the prince consort and i had looked forward to our visit which unfortunately had to be given up but we send our warmest greetings and best wishes for the newyear to everybody in the faroe islands"," the prince consort and i had looked forward to our visit, which unfortunately had to be given up but we send our warmest greetings and best wishes for the new year to everybody in the faroe islands",1.83333333333333
2015," and i want to add see you next summer the past year has presented us with many challenges not least for the police"," and i want to add see you next summer the past year has presented us with many challenges, not least for the police",1
2015," i wish to say thank you for the effort it has not been costless not for individuals and not for the entire police force as such"," i wish to say thank you for the effort it has not been costless, not for individuals and not for the entire police force as such",1.5
2015," i wish you a happy newyear with my warm thanks for what each and every one has contributed"," i wish you a happy new year with my warm thanks for what each and every one has contributed",1.75
2015," i also send my newyear greetings to all danes posted abroad who in the course of this year have performed dangerous tasks throughout the world"," i also send my new year greetings to all danes posted abroad who in the course of this year have performed dangerous tasks throughout the world",1.5
2015," they have all made an honourable effort on behalf of denmark and i wish to send them a special thank you"," they have all made an honourable effort on behalf of denmark, and i wish to send them a special thank you",1.5
2015," specialists from the danish emergency management agency have rendered assistance in nepal after the devastating earthquakes"," specialists from the danish emergency management agency have rendered assistance in nepal after the devastating earthquakes",-2
2015," in west africa where the ebola epidemic has claimed so many victims danish doctors and nurses have made a fearless effort so that the countries affected are now able to handle the terrible disease"," in west africa, where the ebola epidemic has claimed so many victims, danish doctors and nurses have made a fearless effort so that the countries affected are now able to handle the terrible disease",-1.33333333333333
2015," denmark is aware of its international responsibility and that is why the danish defence also this year has been active in many hotspots throughout the world"," denmark is aware of its international responsibility and that is why the danish defence also this year has been active in many hotspots throughout the world",1
2015," everywhere we hear words of praise for the efforts of the danish forces"," everywhere, we hear words of praise for the efforts of the danish forces",3
2015," this applies to the army the navy and the air force"," this applies to the army, the navy and the air force",0
2015," we can take pride in that"," we can take pride in that",0
2015," i wish to thank all who have been posted abroad"," i wish to thank all who have been posted abroad",1.5
2015," i wish all of you both those at home and those who are abroad right now a happy newyear"," i wish all of you, both those at home and those who are abroad right now, a happy new year",2
2015," tonight i also send my greetings and thoughts to all danes wherever they are throughout the world"," tonight, i also send my greetings and thoughts to all danes, wherever they are throughout the world",1.5
2015," a thank you for their effort and a wish for a happy newyear for themselves and their activity"," a thank you for their effort and a wish for a happy new year for themselves and their activity",2
2015," i also send my greetings to danes in south schleswig"," i also send my greetings to danes in south schleswig",1.5
2015," like the german minority north of the border they contribute to making our border area a model for other border areas"," like the german minority north of the border, they contribute to making our border area a model for other border areas",2
2015," i wish them all a happy newyear"," i wish them all a happy new year",2
2015," i cannot end my address without saying thank you a thank you for all the warmth and kindliness that the prince consort and i and all our family have received also this year"," i cannot end my address without saying thank you, a thank you for all the warmth and kindliness that the prince consort and i and all our family have received also this year",2
2015," tonight however i would like to extend my best thanks to the prince consort"," tonight, however, i would like to extend my best thanks to the prince consort",2
2015," my husband has made the decision that the time has now come for him to slow down or if i may use a common danish term to retire"," my husband has made the decision that the time has now come for him to slow down or, if i may use a common danish term to retire",0
2015," going forward the prince consort will therefore only to a very limited extent partake in the official events which for so many years have been a natural part of his life"," going forward, the prince consort will therefore only to a very limited extent partake in the official events, which for so many years have been a natural part of his life",0
2015," it is his decision which i understand and respect"," it is his decision, which i understand and respect",0
2015," i am deeply grateful for all the support help and inspiration he has given me over the years"," i am deeply grateful for all the support, help and inspiration he has given me over the years",2.25
2015," i look forward to continuing to carry out my duties with the support of my husband though it will be less visible"," i look forward to continuing to carry out my duties with the support of my husband, though it will be less visible",2
2015," before us lies a newyear"," before us lies a new year",0
2015," tonight we will turn yet another page what is in store for us we must face the future with hope but well aware that the newyear may bring with it joy as well as sadness challenges as well as happy moments"," tonight, we will turn yet another page what is in store for us we must face the future with hope, but well aware that the new year may bring with it joy as well as sadness, challenges as well as happy moments",2.66666666666667
2015," my wish is for everybody and for our country that the happy moments will outnumber the others and that we will be able to respond to the challenges with confidence"," my wish is for everybody and for our country that the happy moments will outnumber the others, and that we will be able to respond to the challenges with confidence",2
2015," with all my heart happy newyear 2016 god bless denmark"," with all my heart happy new year 2016 god bless denmark",2
2016,"right now only a few hours remain of the old year 2016","right now only a few hours remain of the old year, 2016",0
2016," very soon we will write 2017 a newyear with new opportunities but also with the tasks and problems we did not manage to complete or solve in the old year"," very soon we will write 2017 a new year with new opportunities, but also with the tasks and problems we did not manage to complete or solve in the old year",0.333333333333333
2016," writing 2017 instead of 2016 will not make our concerns disappear"," writing 2017 instead of 2016 will not make our concerns disappear",-1
2016," during the past year we have witnessed terrorist attacks that have filled us with fear and horror"," during the past year, we have witnessed terrorist attacks that have filled us with fear and horror",-1.5
2016," but we have learnt that we must not allow ourselves to be paralysed by fear"," but we have learnt that we must not allow ourselves to be paralysed by fear",-0.5
2016," life must go on"," life must go on",0
2016," we must persevere and not lose heart"," we must persevere and not lose heart",0
2016," there is good reason here to say thank you to all those who make an effort to ensure our safety and security"," there is good reason here to say thank you to all those who make an effort to ensure our safety and security",1.75
